A,B,C,D,E,F
1.6411,1.0258,11.5880,-0.1579,13.8030,9.7833
-0.5589,9.9032,-0.2596,-0.0630,0.1762,-0.5248
9.8139,8.5835,0.7302,8.3374,-1.1424,8.9240
11.7370,-0.1118,13.4270,-2.0709,7.5079,1.9014
0.6192,1.8819,2.1966,3.4382,8.9857,10.9790
-1.9559,10.7250,8.6134,10.0650,-0.6374,8.6199
0.7767,3.1435,8.7555,11.0550,10.7100,12.9220
1.1138,10.8580,7.5566,6.9382,1.8593,10.9490
10.4940,8.0344,-0.3125,-1.3200,-0.2540,2.5512
-2.4813,0.4110,8.5400,10.5930,-0.0468,11.8420
5.5839,10.6480,9.3763,12.2050,9.2477,6.9923
2.0020,9.8675,9.1998,3.2494,1.4621,11.8690
1.7635,11.9200,9.0334,9.0522,-0.3824,12.5640
10.8480,11.0600,1.0268,10.1040,8.3417,10.2510
9.2173,9.4459,0.1628,2.6896,0.7148,8.3439
-1.4677,-1.7454,-0.1917,0.4248,11.1370,5.9784
0.5335,7.6637,1.1670,8.2759,7.1749,12.5920
-0.7707,9.0169,8.3932,-1.8937,0.9396,0.4025
10.4310,1.5362,2.5743,8.6050,12.4880,1.3124
10.3050,11.3380,9.4490,0.8758,10.9960,0.5444
8.5881,9.6865,11.7600,2.3113,13.0650,10.1260
8.7111,11.4290,-1.1543,-0.1395,0.1832,0.4008
11.1220,9.4267,7.4717,3.6621,3.9441,-0.3608
9.8851,10.8930,9.7123,13.8910,10.2010,-0.8342
10.9450,10.3400,8.3543,10.6880,2.1546,10.7200
11.1620,-2.4930,2.7590,9.6055,-2.7250,6.9816
10.8950,-0.5729,-0.1604,-0.3900,11.9670,1.7371
10.4360,10.1750,-0.2484,4.1780,2.3953,-0.3644
1.9580,0.1700,0.1692,-0.8797,1.0345,10.7980
8.7832,9.0932,8.5404,8.6747,10.0270,9.7966
9.5241,0.9212,-0.0288,1.3966,13.2170,10.5980
0.4627,10.7700,0.2082,10.3290,8.2391,-2.3852
-1.1656,8.2235,11.3320,7.8688,0.0215,7.7988
12.0870,-1.2454,2.8012,12.9810,0.7611,10.6830
11.1330,8.8720,1.0158,9.8812,-0.0568,-1.9903
11.5960,9.7060,9.2632,12.4590,-0.5162,-0.1095
0.6935,9.0171,11.8150,11.6770,-0.7497,-0.8783
9.7844,3.5149,3.5552,8.6774,8.4271,11.2710
1.7118,0.9220,10.1190,10.2170,2.9451,0.4160
10.1010,-1.9343,11.5460,9.4949,2.0938,11.1610
12.2760,-0.7611,10.2590,8.5119,-3.0797,8.5852
-1.3220,-0.5068,-0.5821,1.9357,0.0787,0.9310
1.1913,10.2570,9.1953,11.3520,-0.4255,-0.2852
-0.5645,10.3040,10.1170,0.5265,8.2336,1.0697
12.4380,2.8363,10.8350,0.4609,-1.2649,10.6890
3.2731,9.6397,10.6180,11.9730,2.2759,-1.1350
12.2340,-2.8616,2.8813,9.6491,6.3984,-1.4673
-0.2417,2.7032,12.4000,-0.5939,-0.4406,-1.7462
2.1131,9.3299,13.1260,-0.7611,8.6720,8.8453
11.4300,12.8530,13.0980,-0.6483,-0.2998,1.2753
9.8568,1.9706,-0.9741,10.0440,9.6775,0.5961
9.6302,11.4730,10.6150,8.5779,11.4030,9.6923
12.6230,1.1119,-1.4149,11.5390,0.3743,-1.9550
1.1977,3.5168,-2.5289,2.8748,0.3235,-0.1855
11.6670,1.5669,10.2530,10.5810,-2.8169,0.8626
-3.2756,-2.8715,4.0622,0.6008,11.8690,5.0411
10.3800,13.1790,10.1810,-0.9526,8.2569,8.8864
12.4240,8.2266,-0.3091,10.9120,12.3780,0.4747
-2.9177,6.9259,7.1444,2.5716,10.7080,0.2305
11.6730,-1.3977,6.9234,9.9124,0.9563,-3.2219
10.4120,8.2285,10.8580,9.4888,1.3986,-0.5529
-0.0911,11.4150,11.4990,13.1250,12.3650,10.2210
0.2934,11.7580,0.2538,2.3356,10.2860,-0.2025
12.1760,-1.8312,10.5540,0.4828,1.6973,-2.9711
10.2100,12.0670,-2.9246,-1.0866,8.6457,12.4560
8.3455,-0.4596,0.2248,7.7562,2.4646,12.1340
0.7013,-0.8675,0.4909,12.4160,-3.7942,9.7119
8.8559,-1.4596,1.2766,0.7825,11.7280,-1.4074
10.2940,13.1700,-1.2833,8.5539,-0.7588,0.7284
9.3283,10.2060,-0.4594,8.8116,-0.4279,1.2078
9.9414,0.1863,10.8370,2.9528,8.3500,9.1367
-2.0855,9.8065,-1.9153,9.4409,10.3670,9.7938
-1.1996,-1.0329,-1.8118,-3.4953,9.8319,9.3233
0.1521,12.5890,-1.9956,-0.8611,9.2257,-1.8922
-1.2989,11.5890,11.0300,1.1780,0.5985,-1.2598
11.7180,9.4133,10.6260,0.2372,8.6243,12.4130
-2.0737,8.8446,-1.5263,10.1670,12.4110,0.8781
11.9700,9.3887,8.7724,-0.4119,10.8130,12.3870
-3.0495,-1.5251,-0.0302,0.5947,8.9608,-1.6104
9.6441,10.7050,10.1250,-3.9776,6.0832,8.8869
-0.5897,1.3275,12.2040,8.7710,-0.0760,-1.2962
-1.0853,1.6292,8.1489,8.0055,8.9720,1.6831
-1.0403,-2.5551,10.1210,5.7985,7.2286,0.7551
-0.8402,2.9600,-0.3591,-1.3728,-2.9063,-0.2977
-1.9391,1.3864,10.8260,10.9860,10.2750,-0.2152
1.3622,-1.5838,9.9016,-1.4675,8.6761,-0.8434
1.7420,10.1960,-0.4845,8.6312,0.1497,9.2892
-1.4439,11.3660,11.7270,11.1160,-0.7870,9.6156
-2.1342,-2.5873,13.8850,12.7280,9.2877,3.4618
0.9497,10.3580,8.9676,1.3030,7.4289,-0.8704
-1.8054,0.4756,7.5964,11.3310,1.2334,-0.4984
11.4990,11.1640,13.0500,-2.5148,10.7000,-4.5964
1.0212,2.0402,-0.2728,-2.0136,10.4330,7.2382
8.7909,-1.2933,8.9399,-2.2114,0.1487,0.6302
10.5880,10.8830,12.7020,11.3260,12.8990,12.7070
9.3741,0.4197,0.4077,9.8653,-1.0213,-2.0373
-2.3101,-1.7617,9.4565,-5.8758,8.2122,10.4830
-1.3811,9.6652,-1.2322,10.3740,9.8564,7.6217
12.0500,11.9310,10.0310,11.1620,9.6672,10.7660
2.5350,1.4710,-1.4528,11.0460,9.6492,-2.7965
7.0993,1.2442,-2.9279,9.1095,10.4280,9.2056
-0.2151,10.8500,0.7527,1.4111,0.2100,1.7426
9.8592,-0.9152,7.3828,2.8871,1.2772,0.6416
11.8330,12.3210,-2.2526,11.7920,1.4591,1.4839
-0.5567,-1.0567,8.3085,-1.8000,0.6374,12.5110
8.8615,9.0941,9.5101,12.0780,11.4410,11.7670
8.1037,10.6210,1.3794,0.9810,10.9970,12.1500
8.9763,10.0420,10.4440,0.4511,8.1872,10.1930
11.4070,-1.3355,10.9720,1.3189,2.7629,10.3200
11.4790,9.2442,11.6920,10.9530,-2.4223,1.2390
10.2320,11.2080,9.9230,11.4820,2.1597,12.7540
12.3780,9.3138,9.1639,9.9564,9.1007,10.5820
9.5224,9.5985,7.0333,1.1038,11.0380,10.9590
9.6883,1.1976,-0.0465,2.5709,9.8633,-0.2772
0.6011,-1.3731,13.0910,9.9610,-0.9085,0.1240
8.2989,-0.7456,12.1520,12.0250,-0.4126,9.6076
8.7675,-2.5361,1.0848,1.5384,13.2950,1.2506
9.9539,9.3436,9.9255,2.3974,10.6800,8.2050
9.2393,0.1862,-1.5029,-2.1962,1.7240,-0.2629
12.6320,-0.0808,-2.8916,11.4230,8.7305,9.9841
4.3529,11.2820,-0.6287,-0.5967,12.4380,-0.4543
-0.0934,11.0530,0.6255,-0.1340,10.9920,10.1130
2.1150,9.8093,10.8130,12.0490,-1.6031,-3.0401
8.3934,-0.4594,-1.5339,9.6497,12.4550,10.9320
1.3290,8.8779,8.5783,0.8272,1.6380,11.3920
8.8676,8.5357,10.4410,-4.9060,12.2780,11.0450
10.1750,-3.1553,1.4073,2.9573,-1.2477,13.8150
-2.0333,2.0245,-0.5175,9.4272,-3.1411,-1.3141
-1.4598,13.2690,5.5980,10.7890,10.6530,11.2540
11.7010,0.1995,-0.7866,10.1260,-0.5686,-1.4114
10.7660,-0.3397,0.0965,8.5142,-1.3191,-2.0485
1.3158,1.3494,9.5964,1.1991,0.4992,9.9386
9.3463,0.8211,11.1910,0.1350,10.6640,7.8452
9.5776,13.9240,0.7145,1.8476,-0.5229,10.9110
10.0760,-0.5680,9.7295,11.8550,1.2930,8.3761
8.3328,9.6258,11.6470,0.0511,1.8082,2.5122
-1.0052,3.1559,11.1760,-0.6280,7.3682,9.5956
7.6631,-0.6517,10.6570,-0.1646,2.6499,2.4345
11.8830,9.4267,-0.3315,-0.5812,1.3358,0.9402
10.2830,3.2652,0.1336,0.3408,-1.0246,0.2621
0.9889,0.8490,11.3940,10.2400,9.9720,0.0812
-0.5588,-0.4204,8.4567,-3.8328,9.7871,2.7138
0.6590,0.6264,8.9741,-2.4549,8.7148,0.1923
11.9250,-0.2303,8.2635,13.6410,-0.3760,2.0683
-2.8922,-0.2880,0.3116,-0.9618,12.2730,9.3625
12.4130,7.9236,0.5257,10.2540,9.6877,-2.1254
1.1575,6.6955,-0.0276,11.7750,10.0270,10.6170
0.6142,10.4260,10.1180,12.1140,9.7060,-1.7650
-1.8494,7.6116,10.3380,-0.9538,-0.1374,10.9070
-1.1865,9.6219,13.0270,-1.2505,0.1653,10.4820
7.9015,-0.2733,0.2769,0.9875,9.2197,1.3209
9.2353,-2.4290,9.0709,9.5118,7.9292,10.0240
9.9324,-1.9139,0.0612,9.0743,10.2640,9.7593
0.5003,9.6040,8.8511,9.1946,8.3085,8.8520
10.4610,9.3405,9.8195,0.2864,10.4230,-1.3696
-1.9305,8.6098,1.7453,1.8410,-0.1220,-0.6658
11.0700,10.9860,-0.2288,9.0204,12.1300,11.7720
-0.4052,-0.1332,-0.0153,-1.1888,0.1714,-2.7223
-0.5260,3.0814,-1.9402,8.7152,2.5848,9.8189
1.6515,7.9941,0.1912,1.0133,-2.4973,8.2804
-1.6969,8.3529,5.7392,0.4947,8.9996,7.4657
10.5220,10.7820,10.8010,7.5362,9.5063,-3.4840
2.3505,11.4920,1.4085,10.3540,0.5105,9.5334
0.9805,10.1220,9.9038,-1.4861,9.3425,11.4310
0.2148,0.2842,-0.1933,-0.9485,-0.8681,-0.7599
8.8824,10.1060,-2.1036,12.4700,9.9459,12.4750
0.9174,7.1777,1.4622,-0.9298,8.3034,-0.3772
11.4480,-0.0279,9.6551,8.0716,-2.5616,1.2703
14.3610,-2.2181,-2.0409,-0.6218,-0.5120,0.2602
-0.9100,0.1622,11.8550,8.5803,0.4545,8.4379
9.8776,10.5550,0.0357,0.0358,-0.3126,0.7150
2.6838,-2.1164,0.7661,-0.9166,9.8763,9.9969
9.0628,10.3430,12.0090,-1.3217,0.2366,-0.7026
12.8820,-0.1485,-1.4549,0.0934,-1.1425,9.0668
2.0604,-1.9795,-2.5189,11.0900,-1.2417,12.2790
7.0626,-1.0975,11.7710,0.6541,9.3264,9.2370
10.5590,-2.3650,9.9764,11.3170,11.4150,0.8158
-2.0653,-1.5143,2.4143,0.0209,9.2552,1.3168
11.6430,-0.3353,9.0927,8.7315,-0.9192,0.3932
8.6705,8.3885,12.0390,8.7805,12.3670,9.5339
-2.5381,10.2940,-0.4802,0.0585,-4.5452,2.2651
-0.5448,-1.4943,9.2135,9.9189,-1.3713,-3.5767
-1.7741,-1.1095,10.0880,0.7841,0.8062,0.5530
-4.5511,10.0620,8.1722,7.8862,1.4418,1.1734
-0.6643,1.5831,7.7757,11.4690,-0.5664,9.9184
0.5481,10.2860,-2.2893,11.1880,-1.5985,12.9030
10.6240,1.0133,10.6510,9.6123,-0.7006,9.7603
7.5813,0.0648,-1.1516,-2.0071,2.1693,1.7382
6.9492,3.0918,7.4978,-2.9570,1.4137,0.5384
12.6020,-1.7035,7.7403,10.4950,-0.7413,-4.5003
9.2722,11.5290,10.3210,-1.2313,11.8730,-1.3134
8.4411,-0.2355,2.1797,0.9638,-1.1701,0.6805
-2.1884,13.0320,6.3801,11.6010,11.9300,0.4750
-1.2313,9.4111,11.3820,9.9624,0.5558,9.2353
-0.2604,7.8873,-2.8332,9.4564,2.9241,2.1964
8.1058,10.3640,12.3040,2.5012,-1.1314,-1.6469
-1.0587,9.4639,9.1962,12.1440,10.4840,9.2868
1.8656,0.0956,11.2870,-0.6774,1.8129,-0.6318
11.5920,10.5530,9.4542,-0.5102,-0.2165,11.2620
0.9956,8.4056,11.0990,0.8670,10.0210,0.5023
12.7090,2.1201,-1.8722,-0.2716,8.0711,-0.6499
-1.2893,6.8800,0.1823,0.0612,1.7238,-0.5773
8.6869,8.7757,1.8278,2.5202,10.9000,8.3843
0.2116,-1.4137,2.3578,1.7102,-0.1264,-0.4354
9.4723,9.3584,11.8800,-0.1832,-0.5330,-1.8204
10.3970,-0.2470,8.8415,13.1770,10.4800,-1.6579
-1.7119,-0.2347,0.9043,10.4690,8.7137,-0.0496
-3.6316,-2.0389,14.5200,11.7200,0.1056,10.6910
1.5955,11.6810,0.9912,1.8493,11.3550,10.3800
0.3148,-0.4073,1.3592,-0.7620,9.2654,0.8850
-0.6180,13.1620,8.2405,3.4452,9.8309,9.4112
10.0780,1.6511,11.3190,9.7067,1.6817,7.7433
1.6511,11.4070,-2.1751,9.0194,10.3370,9.6806
0.4146,1.0591,9.6603,11.9610,11.0930,2.6671
-0.7888,10.2660,0.8077,7.7729,12.2510,7.8692
1.9165,1.3048,-0.4249,10.8780,-0.9465,0.6202
11.1410,11.4010,8.9555,8.7261,0.8459,10.3890
-0.2666,10.5130,0.2655,12.2260,7.8705,1.6422
0.0206,1.5722,-1.1760,8.1083,0.8003,10.3170
9.8869,10.6220,-0.7170,-0.3857,2.7001,-1.9421
10.3390,0.3969,-0.2988,8.8169,1.3138,10.5940
8.1013,9.8985,-1.2138,12.1410,0.1259,2.9733
13.1330,2.2412,-3.9566,9.7254,-2.1551,11.6810
11.4830,6.9752,10.3930,8.9015,0.4624,11.3170
-2.3997,0.4657,-2.2866,10.6620,10.4130,13.1790
0.7217,10.4730,0.0130,8.4645,1.7884,-2.1348
8.0125,12.1520,0.2351,7.3728,1.5235,8.0083
-0.9739,8.6642,9.1034,12.1220,10.4150,8.9553
10.1530,-1.0202,1.7606,-0.5946,0.3316,1.3540
-0.3811,9.4176,10.3820,12.2880,9.5635,7.9512
-1.1913,8.3151,2.2412,-0.3224,-0.4907,3.4346
-4.1246,9.7513,10.5710,-1.5902,-1.9619,0.3664
-0.6553,-1.9447,2.8860,8.8106,9.2500,7.5605
-1.6382,8.4422,-2.8506,1.0729,11.0500,7.7041
-0.3953,-1.9163,-1.0643,2.7885,0.3642,-3.4071
-0.8762,1.5269,0.1773,0.4066,-1.4319,-1.4709
10.1400,-0.0881,10.8770,-0.1803,9.6904,10.4020
1.4150,10.6100,1.5577,11.1480,11.1080,11.7260
10.4270,-1.0021,10.5250,9.0052,9.8049,-1.4382
11.1790,-0.0444,1.1511,-0.2024,-1.0462,-1.9179
14.0080,-0.1754,1.1025,11.1570,0.7762,10.7830
-1.0476,9.4487,0.0500,2.4397,8.6429,-1.8126
10.1270,8.8416,-1.9907,11.0010,11.5950,10.5710
-0.1022,0.0321,9.9967,9.8262,-1.6788,10.6780
12.7030,1.0171,10.2590,11.9790,1.6010,0.2464
-0.7825,0.3119,8.3928,-0.8913,-0.1155,11.6220
9.9589,9.0673,9.5762,7.2426,10.9090,0.5133
-0.3629,10.2080,10.8420,-2.2826,10.7240,11.8450
7.7456,0.7195,8.2821,-1.3378,-0.8249,8.3622
8.8442,10.0150,7.1553,10.5370,-0.5804,10.2570
-0.6099,1.4994,-0.2176,9.1885,10.2350,0.1798
12.1320,9.6079,-0.0449,8.8642,11.2430,1.5809
7.9427,3.7796,-1.3701,3.6952,0.8842,-0.4131
-0.6143,-0.3116,8.9369,-0.4481,1.1922,1.4039
11.7710,12.7800,6.7282,9.4682,-2.5380,12.7390
11.5930,0.2106,8.5175,-0.4786,-0.8505,11.3460
8.2945,12.1780,10.1490,9.4447,1.1831,-0.4813
10.4860,8.5216,-0.7157,0.0833,10.4460,2.1106
9.0318,10.8050,12.6210,9.9847,0.4650,8.9147
9.4178,8.4007,9.2117,0.3105,-0.4074,8.7774
10.4630,9.6921,13.4530,12.0790,10.3770,0.9987
10.2020,-3.0229,8.8625,-0.1280,11.4540,-1.9273
12.3970,9.2281,-0.9465,12.2780,8.9681,12.7770
0.2777,0.0350,10.8740,9.6278,12.5040,0.0565
1.0025,0.0811,8.2916,12.1560,9.7337,-0.6182
0.8955,2.1509,-2.5429,8.2351,11.1890,13.3750
10.4260,10.4890,1.6083,3.5838,-0.7261,9.4296
0.0141,-1.7285,-1.8266,1.4175,3.9589,-2.6053
9.8030,9.9487,-1.0013,11.6040,12.3800,9.3464
8.9514,1.4332,11.1010,-0.0025,-2.1261,-3.8484
10.4050,10.3240,6.6284,10.6200,10.2570,0.4539
-0.0860,6.4579,9.0776,-1.8551,-1.9795,10.2050
10.9760,8.8605,2.1124,1.7812,-1.0991,8.9650
2.5944,-0.1250,12.2830,-1.7483,-1.0166,-0.7666
1.4459,10.4540,-0.3514,0.3930,1.1692,8.7650
-0.3408,2.3476,0.3401,9.4968,0.5924,9.0423
9.1583,7.5268,9.2729,-2.5654,1.4379,-3.4300
2.8345,11.6600,1.9096,7.5780,-0.1662,2.2292
8.7564,10.6140,-1.7746,-1.0753,11.6530,10.8120
-1.5526,11.1620,-0.8019,0.3070,0.7862,2.3776
9.5659,12.4820,-2.0676,8.4406,2.0883,10.0100
-1.9186,8.4261,11.1160,9.1821,9.4402,8.7069
9.2474,10.3550,0.6417,0.2918,-0.9857,0.7562
9.3652,8.1313,1.0938,11.5640,-1.4529,9.5023
11.2590,-2.0416,0.0855,1.4621,0.1390,1.5239
9.9770,-1.5465,8.6616,0.3587,-0.4225,0.3612
0.2268,13.4150,10.7150,10.5550,9.0446,-0.9164
-0.5134,11.0280,0.4595,9.5302,10.9310,6.3857
1.5451,9.3142,9.0632,0.3995,-1.1702,9.3091
2.2500,-1.5195,9.3853,-1.0058,8.3812,-0.0100
10.7890,12.3680,0.7171,-0.1026,11.8280,4.9270
2.3162,10.1510,9.2532,12.4980,10.6960,10.6460
3.8355,11.9990,12.3500,11.0470,9.7467,8.5596
10.2660,0.7830,0.6105,9.8756,-1.4232,8.3768
10.5500,0.9156,15.0150,2.5123,1.9833,9.6728
3.0493,-2.1829,10.6630,-2.0679,9.6442,1.1611
-0.8024,-2.2565,9.4021,0.4936,12.3940,7.3837
-0.1646,8.6844,1.0513,12.3410,-1.7751,7.6284
10.0670,8.8758,-0.2715,9.9474,8.5160,0.8846
13.0760,-1.0179,-2.0773,9.7520,0.8721,9.2409
1.7907,12.7010,3.5398,-0.5700,7.8759,0.7951
9.3744,10.9980,9.3358,-1.0697,10.5190,0.4347
-0.1849,-0.4547,8.1076,-0.5965,12.4790,-1.4693
10.9470,11.5780,1.8017,11.6470,10.4980,10.1390
-1.9592,9.6496,11.5610,-1.0466,9.7422,1.8890
7.6444,-0.3637,8.7153,7.6618,11.4900,1.1707
1.4998,-1.4772,1.8260,7.9918,9.3641,9.8290
1.1265,12.2260,-0.7299,-1.8628,0.5938,-1.3880
7.3873,13.1900,0.4117,10.9690,9.7224,-1.2965
-1.8988,9.9301,1.2058,3.1494,10.3480,11.7110
8.3932,7.1569,9.9995,7.0998,10.0140,-1.5519
-1.2976,10.5800,12.5230,11.7540,-1.2991,11.2130
11.7070,7.7521,9.2854,-2.5963,10.1750,10.3170
8.9862,-0.8310,-0.5704,-3.5258,0.3194,9.5292
10.6870,-0.7853,-1.2588,10.4830,11.1070,2.0200
10.0890,10.7400,9.3066,0.6628,9.7523,1.8668
1.4119,13.1600,10.1020,-1.6522,1.0641,0.8158
2.7901,11.7060,1.9051,0.2129,-1.0800,8.8595
2.1961,-0.6319,1.0860,10.9380,9.3276,-1.3328
-3.7792,10.4790,0.2319,10.2110,10.6230,8.6589
10.8310,-1.1614,11.0790,12.9420,0.6617,0.6251
10.8640,1.2209,8.8550,-2.5878,11.3060,3.0115
1.1903,1.4088,7.9996,10.8260,10.0830,9.3155
-2.1624,9.6275,10.5820,11.0600,9.6021,10.3210
12.3680,1.5234,9.5282,11.8130,-3.2315,11.2920
1.0912,9.3809,8.8055,-0.0708,-1.7396,0.1201
0.4571,1.5184,-0.9157,0.8738,9.3353,2.8011
3.2804,7.2433,0.2188,1.2451,2.1367,1.9256
10.8670,0.2306,10.0650,0.6030,0.2456,11.8810
-1.6605,0.4876,11.7390,13.1030,-1.5058,-1.5983
1.3292,0.3110,9.1842,8.2172,4.5923,-0.5188
2.7079,10.5080,-3.3759,1.6458,-1.0106,10.5800
13.3050,10.7960,1.2942,-0.6600,10.2060,0.2796
-0.9837,11.0570,10.6150,-0.7965,8.4951,9.5117
-1.3430,0.8515,-3.4799,-2.8930,10.6340,2.6421
0.7811,12.1390,11.9060,9.9242,-2.1379,10.6090
-0.5222,2.5685,9.0641,0.8087,1.8560,8.8822
8.6624,10.7300,3.4136,1.0186,12.2840,9.4847
0.9270,8.9216,-1.6100,9.6334,9.3959,0.8909
9.3077,10.8580,9.1651,-0.4921,0.8627,0.9156
12.9630,9.5345,1.5003,0.6821,0.2606,10.6090
-4.0706,8.9814,9.1570,-0.1024,10.7820,13.5890
-0.4437,12.8970,-2.6727,8.3495,2.8916,-1.3875
0.6587,-0.1047,7.0783,1.1434,10.5080,-0.0073
-1.3336,10.8250,8.7003,0.6571,4.1730,0.3696
-0.9608,-0.7884,1.3217,-1.3174,11.6270,-0.3186
-0.1199,-1.3571,11.2390,0.6147,11.0390,1.1132
1.7278,10.5210,-0.2476,-0.2346,10.2520,-0.0243
9.0534,-0.1815,0.8552,1.4000,6.6517,10.3290
9.4062,6.8028,0.4389,-0.0308,-0.8553,11.5920
8.0879,8.1480,-1.3334,8.9436,9.4819,0.3650
7.0557,10.1580,1.6501,9.6438,9.7735,8.2156
8.5430,10.6300,-0.7363,10.6360,10.3260,-1.9237
-3.4832,1.0268,0.1869,0.4154,10.6490,1.1653
9.1356,11.5450,11.6430,8.0657,10.7770,-0.5822
12.0920,8.0565,10.1020,9.4649,8.8351,-0.1745
-1.0903,0.8945,10.7750,0.2034,10.2960,8.8223
-1.3392,11.5040,7.9023,11.6610,9.5364,12.3020
0.1116,1.0361,1.9892,-0.3178,11.1410,0.4637
12.4020,-0.7281,12.2140,-0.5531,-1.7880,3.5115
0.9505,7.6674,10.9530,10.6610,2.0798,2.2648
1.2969,-1.2206,10.2040,0.8372,0.2116,-0.4706
2.3694,-1.1408,2.3890,1.2124,-1.8575,-0.8979
4.3856,1.7802,13.6350,2.9223,-2.3522,11.1610
0.7787,8.5393,11.3390,13.0560,7.5537,3.7151
0.1515,7.9036,2.7726,1.4999,11.5110,10.3520
0.9939,3.9402,9.1296,0.0064,1.1159,1.6925
9.1527,1.9333,-0.3285,12.4880,-0.1438,-0.8050
8.7916,10.4840,0.0813,10.4640,10.0680,0.7103
0.8652,-0.2519,3.7851,-2.0467,-2.0798,1.8582
9.9221,-1.4271,9.6599,2.4221,-0.6568,12.2530
9.4644,0.4760,9.9512,0.7832,0.7317,11.3880
9.0961,10.5500,8.5457,-1.4646,0.7696,11.3050
-0.4996,-0.3941,12.1890,-1.0297,10.2760,0.5783
-1.8843,9.2144,12.6010,7.6424,9.1535,-0.4366
7.3773,-0.8764,1.5488,0.3128,7.8903,-1.0407
6.3422,11.1620,0.5217,9.8179,-2.9314,8.3023
10.4160,8.1221,8.7105,-0.8540,2.4639,8.9477
8.0130,-0.8769,10.7100,-0.3478,8.6439,9.2771
-0.7423,11.6110,-2.0666,-3.0938,2.0175,-1.1118
-1.8437,9.8069,-0.2120,9.4780,7.9692,8.6878
10.3540,9.6533,8.2751,11.0110,11.2660,13.6360
11.1580,10.2090,11.8770,0.8242,9.4589,10.0820
-0.2358,11.9570,10.8480,-4.1378,7.9139,0.4501
0.0157,8.6995,-2.8308,7.3466,8.8099,-0.8109
11.5800,9.2388,10.2380,0.4974,1.1917,10.7110
-0.7288,9.1215,1.5771,2.2601,8.6189,9.7304
11.9240,2.6426,8.8572,11.4820,0.7993,9.3026
9.7300,1.6748,4.6907,8.3187,-2.1331,9.1339
-2.5089,8.1838,-0.6656,-0.2327,-0.0476,8.0900
-1.7515,9.5523,11.8010,9.4342,1.7249,7.2649
9.8171,7.4475,9.5804,1.9791,10.8110,0.6027
1.1263,0.9154,9.8163,-0.2997,8.5874,10.8230
6.8694,3.1397,0.8351,-0.3147,-2.8354,10.6070
9.3942,9.1729,11.2780,10.0420,0.0633,-1.2576
8.4233,8.0473,10.4800,1.0384,13.7980,9.7644
11.8330,11.7850,-0.4173,-0.3305,1.4912,10.3180
10.6510,-0.0307,7.2731,-0.5430,-0.3933,-0.9417
-0.8072,0.7799,10.4080,0.0783,-2.3588,12.2680
-0.7421,8.4799,10.7390,1.4356,8.0565,10.3060
